% Model,modes.mph
% Version,COMSOL 5.2.0.220
% Date,"Apr 14 2016, 13:27"
% Table,Table 1 - Global Evaluation 1 (rp)
% w_RR1,w_slab,lambda,real(rp) (1)
0.18,0.10000000000000002,1.1383847732303987E-9-4175666.0747928126i,-1.4724377003222187
0.18,0.11000000000000001,-0.002258426354055805-3986657.5460119336i,-3.371604076797913
0.18,0.11000000000000001,8.575993204796146E-4-3994803.9152593846i,-4.1338214672082385
0.18,0.11000000000000001,-4074016.8944698973i,0.5880027148699527
0.18,0.11000000000000001,-4224529.420056573i,-1.6977988281992935
0.18,0.12000000000000002,-8.252935942322126E-4-3986913.929637535i,-3.124603224866518
0.18,0.12000000000000002,5.932092367662828E-4-3995471.025308285i,-4.113552365981103
0.18,0.12000000000000002,2.064367859627595E-9-4076445.0751647227i,0.5233759573679292
0.18,0.12000000000000002,-4291314.43358938i,-1.907534769047476
0.18,0.13,0.002762042300753126-3987243.428029391i,-2.9355230157959262
0.18,0.13,0.0010655795076854385-3996221.4415380857i,-4.244524397273813
0.18,0.13,-1.5640723493788462E-9-4079107.961601018i,0.4734682747057221
0.18,0.13,-4380099.543384314i,-2.107568619394163
0.18,0.14,-6.370998353188759E-4-3987653.889586606i,-2.817493269014622
0.18,0.14,0.0010664795611667359-3997000.7364362213i,-4.333703813338367
0.18,0.14,-5.874270948783664E-10-4081449.46381625i,0.4336798620293275
0.18,0.14,-4491776.663969649i,-2.299977664373901
0.18,0.15000000000000002,-0.002811672391327864-3988163.321805576i,-2.7307799752647335
0.18,0.15000000000000002,1.9691732351371568E-5-3997881.021236675i,-4.471428755625983
0.18,0.15000000000000002,-4083886.5762167475i,0.4013819755823614
0.18,0.15000000000000002,-4632057.4479996385i,-2.4835500144257776
0.18,0.16000000000000003,-4.070546527436282E-4-3988778.3092395877i,-2.676435967807539
0.18,0.16000000000000003,0.009670366402814875-3998692.9762416976i,-4.682278392828478
0.18,0.16000000000000003,-4086126.383240769i,0.37422679377904816
0.18,0.16000000000000003,-4793505.911425831i,-2.664136264599827
0.18,0.17,3.270111546684554E-4-3989473.8454578756i,-2.6534607925641636
0.18,0.17,-6.098386846525347E-4-3999492.45489178i,-4.8403850738521115
0.18,0.17,-4087782.6938801906i,0.35188631600043496
0.18,0.17,-4974624.215686595i,-2.836183538417489
0.18,0.18000000000000002,0.004713382038355034-3990211.257763438i,-2.6411586513465375
0.18,0.18000000000000002,4.7088916204310354E-4-4000372.3245141055i,-5.166129300763893
0.18,0.18000000000000002,-1.7137507701107164E-9-4090150.0721578016i,0.33137518220862683
0.18,0.18000000000000002,-5171198.465393467i,-3.0136346219986754
0.18,0.19000000000000003,-9.545415459410651E-4-3990961.0521521694i,-2.6365757020668354
0.18,0.19000000000000003,2.1760460947636677E-4-4001246.9126125094i,-5.56893108402316
0.18,0.19000000000000003,-4092395.5809442047i,0.3134452260607263
0.18,0.19000000000000003,-5374251.729038145i,-3.187850198573788
0.18,0.2,6.112233194993884E-4-3991711.30951391i,-2.6403951411215347
0.18,0.2,8.715028968530388E-4-4002112.527434709i,-6.090199908476423
0.18,0.2,5.693266129190512E-10-4094642.914928505i,0.29725011164278975
0.18,0.2,-5575565.592318631i,-3.3639983099631325
